Zero shot
,DBpedia data,abstract
TP,691,575
FP,513,42
FN,2,118
TN,180,651
Accuracy,0.6284271284271284,0.8845598845598845
Precision,0.5739202657807309,0.9319286871961102
Recall,0.9971139971139971,0.8297258297258298
F1 Score,0.7285187137585661,0.8778625954198473

Few shot
,DBpedia data,abstract
TP,651,479
FP,399,38
FN,42,214
TN,294,655
Accuracy,0.6818181818181818,0.8181818181818182
Precision,0.62,0.9264990328820116
Recall,0.9393939393939394,0.6911976911976911
F1 Score,0.7469879518072288,0.7917355371900826
