Zero shot
,DBpedia data,abstract
TP,367,397
FP,75,3
FN,73,43
TN,365,437
Accuracy,0.8318181818181818,0.9477272727272728
Precision,0.830316742081448,0.9925
Recall,0.8340909090909091,0.9022727272727272
F1 Score,0.8321995464852608,0.9452380952380952

Few shot
,DBpedia data,abstract
TP,337,376
FP,48,5
FN,103,64
TN,392,435
Accuracy,0.8284090909090909,0.9215909090909091
Precision,0.8753246753246753,0.9868766404199475
Recall,0.7659090909090909,0.8545454545454545
F1 Score,0.816969696969697,0.9159561510353228
