Zero shot
,DBpedia data,abstract
TP,339,909
FP,414,933
FN,609,39
TN,534,15
Accuracy,0.46044303797468356,0.4873417721518987
Precision,0.450199203187251,0.49348534201954397
Recall,0.3575949367088608,0.9588607594936709
F1 Score,0.39858906525573196,0.6516129032258065

Few shot
,DBpedia data,abstract
TP,101,340
FP,373,488
FN,847,608
TN,575,460
Accuracy,0.35654008438818563,0.4219409282700422
Precision,0.21308016877637131,0.4106280193236715
Recall,0.10654008438818566,0.35864978902953587
F1 Score,0.1420534458509142,0.38288288288288286
